Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ARGD,"Argo Group International Holdings, Ltd.",25.15,n/a,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/argd
ARGO,"Argo Group International Holdings, Ltd.",69.16,$2.34B,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/argo
ARDS,Aridis Pharmaceuticals Inc.,10,$81.05M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ards
ANET,"Arista Networks, Inc.",202.47,$15.27B,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/anet
ARKR,Ark Restaurants Corp.,18.67,$64.87M,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/arkr
AI,Arlington Asset Investment Corp,7.61,$230.93M,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/ai
AI^B,Arlington Asset Investment Corp,22.2276,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ai^b
AIC,Arlington Asset Investment Corp,22.76,n/a,2015,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/aic
AIW,Arlington Asset Investment Corp,23.53,n/a,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/aiw
ARLO,"Arlo Technologies, Inc.",9,$668.23M,2018,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/arlo
AHH,"Armada Hoffler Properties, Inc.",14.07,$698.26M,2013,Finance,Real Estate,https://www.nasdaq.com/symbol/ahh
ARR,"ARMOUR Residential REIT, Inc.",21.18,$901.98M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/arr
ARR^A,"ARMOUR Residential REIT, Inc.",25.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/arr^a
ARR^B,"ARMOUR Residential REIT, Inc.",24.4,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/arr^b
AFI,"Armstrong Flooring, Inc.",13.34,$344.54M,2016,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/afi
AWI,Armstrong World Industries Inc,62.83,$3.11B,n/a,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/awi
ARTX,Arotech Corporation,2.66,$70.45M,1994,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/artx
ARQL,"ArQule, Inc.",3.19,$347.69M,1996,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/arql
ARRY,Array BioPharma Inc.,15.7,$3.35B,2000,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/arry
ARRS,ARRIS International plc,30.59,$5.32B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/arrs
DWCR,Arrow DWA Country Rotation ETF,24.7001,$14.82M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwcr
DWAT,Arrow DWA Tactical ETF,9.9,$4.95M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwat
ARW,"Arrow Electronics, Inc.",69.15,$6.03B,n/a,Consumer Non-Durables,Electronic Components,https://www.nasdaq.com/symbol/arw
AROW,Arrow Financial Corporation,33.73,$487.48M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/arow
ARWR,"Arrowhead Pharmaceuticals, Inc.",13.18,$1.22B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/arwr
ASNS,"Arsanis, Inc.",3.39,$48.53M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/asns
ARTNA,Artesian Resources Corporation,34.18,$316.04M,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/artna
AJG,Arthur J. Gallagher & Co.,72.32,$13.28B,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/ajg
APAM,Artisan Partners Asset Management Inc.,21.9,$1.69B,2013,Finance,Investment Managers,https://www.nasdaq.com/symbol/apam
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",2.03,$8.54M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/artw
ARVN,"Arvinas, Inc.",14.41,$466.18M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/arvn
ARYA,ARYA Sciences Acquisition Corp.,9.8,$176.09M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/arya
ARYAU,ARYA Sciences Acquisition Corp.,10.3,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/aryau
ARYAW,ARYA Sciences Acquisition Corp.,1.6,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/aryaw
ASA,ASA Gold and Precious Metals Limited,9.52,$183.64M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/asa
AKG,Asanko Gold Inc.,0.7416,$167.46M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/akg
ABG,Asbury Automotive Group Inc,68.47,$1.34B,2002,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/abg
ASNA,"Ascena Retail Group, Inc.",2.74,$540.98M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/asna
ASND,Ascendis Pharma A/S,64.62,$2.72B,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/asnd
ASCMA,"Ascent Capital Group, Inc.",0.4063,$5.06M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/ascma
ASX,"ASE Technology Holding Co., Ltd.",3.5,$7.31B,2018,Technology,Semiconductors,https://www.nasdaq.com/symbol/asx
ASGN,ASGN Incorporated,55.91,$2.93B,1992,Technology,Professional Services,https://www.nasdaq.com/symbol/asgn
AHT,Ashford Hospitality Trust Inc,4.36,$440.53M,2003,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aht
AHT^D,Ashford Hospitality Trust Inc,24.63,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aht^d
AHT^F,Ashford Hospitality Trust Inc,20.07,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aht^f
AHT^G,Ashford Hospitality Trust Inc,20,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aht^g
AHT^H,Ashford Hospitality Trust Inc,20.3,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aht^h
AHT^I,Ashford Hospitality Trust Inc,20.3,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aht^i
AINC,Ashford Inc.,52,$124.32M,2014,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/ainc
ASH,Ashland Global Holdings Inc.,72.45,$4.53B,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/ash
APB,"Asia Pacific Fund, Inc. (The)",11.4372,$118.31M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/apb
APWC,Asia Pacific Wire & Cable Corporation Limited,1.96,$27.09M,n/a,Basic Industries,Telecommunications Equipment,https://www.nasdaq.com/symbol/apwc
ASLN,ASLAN Pharmaceuticals Limited,4.1501,$133.01M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/asln
ASML,ASML Holding N.V.,154.07,$65.72B,1995,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/asml
ASPN,"Aspen Aerogels, Inc.",2.41,$57.77M,2014,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/aspn
ASPU,Aspen Group Inc.,5.15,$94.63M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/aspu
AHL,Aspen Insurance Holdings Limited,42.11,$2.51B,2003,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ahl
AHL^C,Aspen Insurance Holdings Limited,23.22,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ahl^c
AHL^D,Aspen Insurance Holdings Limited,20.865,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ahl^d
AZPN,"Aspen Technology, Inc.",83.39,$5.9B,1994,Technology,EDP Services,https://www.nasdaq.com/symbol/azpn
ASMB,"Assembly Biosciences, Inc.",23.81,$606.28M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/asmb
ASRT,"Assertio Therapeutics, Inc.",4.18,$267.27M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/asrt
ASB,Associated Banc-Corp,20.25,$3.36B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asb
ASB^C,Associated Banc-Corp,25.7887,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/asb^c
ASB^D,Associated Banc-Corp,22.7,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/asb^d
ASB^E,Associated Banc-Corp,24.89,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/asb^e
AC,"Associated Capital Group, Inc.",36,$813.51M,2015,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ac
AIZ,"Assurant, Inc.",90.45,$5.61B,2004,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/aiz
AIZP,"Assurant, Inc.",99.35,n/a,n/a,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/aizp
AGO,Assured Guaranty Ltd.,38.77,$4.1B,2004,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ago
AGO^B,Assured Guaranty Ltd.,25.82,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ago^b
AGO^E,Assured Guaranty Ltd.,25.28,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ago^e
AGO^F,Assured Guaranty Ltd.,23.73,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ago^f
ASFI,"Asta Funding, Inc.",4.45,$29.75M,1995,Finance,Finance Companies,https://www.nasdaq.com/symbol/asfi
ASTE,"Astec Industries, Inc.",33.36,$760.53M,1986,Capital Goods,Construction/Ag Equipment/Trucks,https://www.nasdaq.com/symbol/aste
AST,"Asterias Biotherapeutics, Inc.",0.67,$37.29M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ast
AZN,Astrazeneca PLC,39.18,$99.27B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/azn
ATRO,Astronics Corporation,28.96,$935.89M,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/atro
ALOT,"AstroNova, Inc.",19.08,$132.66M,1983,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/alot
ASTC,Astrotech Corporation,5.21,$21.34M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/astc
ASUR,Asure Software Inc,5.27,$80.23M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/asur
ASV,"ASV Holdings, Inc.",2.67,$26.26M,2017,Capital Goods,Construction/Ag Equipment/Trucks,https://www.nasdaq.com/symbol/asv
HOME,At Home Group Inc.,20.31,$1.29B,2016,Consumer Services,Home Furnishings,https://www.nasdaq.com/symbol/home
T,AT&T Inc.,30.34,$220.81B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/t
TBB,AT&T Inc.,22.99,n/a,2017,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tbb
TBC,AT&T Inc.,23.95,n/a,2018,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tbc
ATAI,ATA Inc.,0.93,$22.52M,2008,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/atai
ATRA,"Atara Biotherapeutics, Inc.",29.96,$1.37B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/atra
ATTO,Atento S.A.,4.49,$331.85M,2014,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/atto
ATHN,"athenahealth, Inc.",131.47,$5.41B,2007,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/athn
ATH,Athene Holding Ltd.,41.76,$8.34B,2016,Finance,Life Insurance,https://www.nasdaq.com/symbol/ath
ATNX,"Athenex, Inc.",12.43,$831.49M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/atnx
ATHX,"Athersys, Inc.",1.56,$221.12M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/athx
ATKR,Atkore International Group Inc.,21.01,$989.14M,2016,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/atkr
AAME,Atlantic American Corporation,2.9463,$59.51M,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aame
ACBI,"Atlantic Capital Bancshares, Inc.",17.6,$459.5M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acbi
AT,Atlantic Power Corporation,2.23,$243.91M,n/a,Energy,Electric Utilities: Central,https://www.nasdaq.com/symbol/at
AY,Atlantica Yield plc,19.84,$1.99B,2014,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ay
ATLC,Atlanticus Holdings Corporation,3.15,$48.44M,1995,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/atlc
AAWW,Atlas Air Worldwide Holdings,41.9,$1.07B,n/a,Transportation,Transportation Services,https://www.nasdaq.com/symbol/aaww
AFH,"Atlas Financial Holdings, Inc.",8.9,$106.24M,2013,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afh
AFHBL,"Atlas Financial Holdings, Inc.",25.35,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afhbl
TEAM,Atlassian Corporation Plc,87.09,$20.74B,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/team
ATO,Atmos Energy Corporation,91.69,$10.72B,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/ato
ATNI,"ATN International, Inc.",73.42,$1.17B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/atni
ATOM,Atomera Incorporated,2.75,$41.34M,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/atom
ATOS,Atossa Genetics Inc.,1.1899,$6.72M,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/atos
ATRC,"AtriCure, Inc.",31.23,$1.2B,2005,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atrc
ATRI,Atrion Corporation,709.9,$1.32B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atri
ATIS,Attis Industries Inc.,0.1679,$3.75M,n/a,Basic Industries,Miscellaneous,https://www.nasdaq.com/symbol/atis
ATISW,Attis Industries Inc.,0.0346,n/a,n/a,Basic Industries,Miscellaneous,https://www.nasdaq.com/symbol/atisw
ATTU,Attunity Ltd.,19.53,$416.71M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/attu
LIFE,"aTyr Pharma, Inc.",0.528,$15.85M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/life
AUO,AU Optronics Corp,3.93,$3.78B,2002,Technology,Semiconductors,https://www.nasdaq.com/symbol/auo
AUBN,"Auburn National Bancorporation, Inc.",35.02,$127.61M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/aubn
BOLD,"Audentes Therapeutics, Inc.",23.07,$984.86M,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/bold
AUDC,AudioCodes Ltd.,11.42,$329.09M,1999,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/audc
AEYE,"AudioEye, Inc.",8.54,$64.46M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aeye
AUPH,Aurinia Pharmaceuticals Inc,6.64,$566.68M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/auph
EARS,Auris Medical Holding AG,0.4898,$16.51M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ears
ACB,Aurora Cannabis Inc.,5.22,$5.21B,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/acb
JG,Aurora Mobile Limited,6.8,$801.05M,2018,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/jg
AUG,Auryn Resources Inc.,0.9467,$85.57M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aug
ADSK,"Autodesk, Inc.",128.28,$28.09B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adsk
ATHM,Autohome Inc.,77.83,$9.12B,2013,Technology,EDP Services,https://www.nasdaq.com/symbol/athm
ALV,"Autoliv, Inc.",70.44,$6.14B,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/alv
AUTL,Autolus Therapeutics plc,34.71,$1.39B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/autl
ADP,"Automatic Data Processing, Inc.",131.24,$57.45B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/adp
AN,"AutoNation, Inc.",37.05,$3.33B,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/an
AUTO,"AutoWeb, Inc.",3.33,$43.12M,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/auto
AZO,"AutoZone, Inc.",835.63,$21.06B,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/azo
AVDL,Avadel Pharmaceuticals plc,2.68,$99.19M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/avdl
AVLR,"Avalara, Inc.",32.36,$2.15B,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/avlr
AVCO,Avalon GloboCare Corp.,2.98,$217.66M,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/avco
AWX,Avalon Holdings Corporation,2.73,$10.38M,n/a,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/awx
AVB,"AvalonBay Communities, Inc.",171.2,$23.66B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/avb
AGR,"Avangrid, Inc.",49.23,$15.21B,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/agr
AVNS,"Avanos Medical, Inc.",39.84,$1.89B,2014,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/avns
AVYA,Avaya Holdings Corp.,15.38,$1.69B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/avya
ATXI,"Avenue Therapeutics, Inc.",5.4631,$58.28M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/atxi
AVEO,"AVEO Pharmaceuticals, Inc.",1.93,$241.92M,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aveo
AVY,Avery Dennison Corporation,90.45,$7.84B,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/avy
AVH,Avianca Holdings S.A.,4.4,$548.34M,2013,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/avh
AVNW,"Aviat Networks, Inc.",13.61,$73.83M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/avnw
CDMO,"Avid Bioservices, Inc.",4.49,$251.74M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cdmo
CDMOP,"Avid Bioservices, Inc.",24.96,$17.47M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cdmop
AVID,"Avid Technology, Inc.",4.71,$197.13M,1993,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/avid
AVGR,"Avinger, Inc.",0.2599,$6.1M,2015,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/avgr
ASM,Avino Silver,0.68,$43.07M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/asm
CAR,"Avis Budget Group, Inc.",23.13,$1.79B,n/a,Consumer Services,Rental/Leasing Companies,https://www.nasdaq.com/symbol/car
AVA,Avista Corporation,42.15,$2.77B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ava
AVT,"Avnet, Inc.",37.23,$4.14B,n/a,Consumer Non-Durables,Electronic Components,https://www.nasdaq.com/symbol/avt
AVP,"Avon Products, Inc.",1.69,$747.59M,n/a,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/avp
AVRO,"AVROBIO, Inc.",16.72,$400.54M,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/avro
AVX,AVX Corporation,15.65,$2.64B,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/avx
AWRE,"Aware, Inc.",3.71,$79.93M,1996,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/awre
EQH,"AXA Equitable Holdings, Inc.",17.25,$9.12B,2018,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/eqh
AXTA,Axalta Coating Systems Ltd.,23.81,$5.68B,2014,Basic Industries,Paints/Coatings,https://www.nasdaq.com/symbol/axta
ACLS,"Axcelis Technologies, Inc.",17.61,$570.78M,2000,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acls
AXS,Axis Capital Holdings Limited,53.32,$4.46B,2003,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/axs
AXS^D,Axis Capital Holdings Limited,22.8,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/axs^d
AXS^E,Axis Capital Holdings Limited,22.83,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/axs^e
AXGN,"AxoGen, Inc.",21.31,$824.12M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/axgn
AAXN,"Axon Enterprise, Inc.",46.01,$2.71B,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/aaxn
AXNX,"Axonics Modulation Technologies, Inc.",14.73,$409.57M,2018,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/axnx
AX,"Axos Financial, Inc.",25.89,$1.63B,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ax
AXO,"Axos Financial, Inc.",24.8279,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/axo
AXON          ,Axovant Sciences Ltd.,1.08,$132.06M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/axon
AXSM,"Axsome Therapeutics, Inc.",2.63,$78.41M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/axsm
AXTI,AXT Inc,4.28,$169.22M,1998,Technology,Semiconductors,https://www.nasdaq.com/symbol/axti
AYTU,"Aytu BioScience, Inc.",0.85,$7.34M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aytu
AZUL,Azul S.A.,28.99,$3.27B,2017,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/azul
AZRE,Azure Power Global Limited,8.58,$351.26M,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/azre
AZRX,"AzurRx BioPharma, Inc.",1.66,$29.34M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/azrx
AZZ,AZZ Inc.,40.9,$1.07B,n/a,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/azz
BCOM,B Communications Ltd.,5.9,$176.35M,n/a,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/bcom
BGS,"B&G Foods, Inc.",28.29,$1.87B,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/bgs
RILY,"B. Riley Financial, Inc.",15.36,$407.87M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/rily
RILYG,"B. Riley Financial, Inc.",24.2,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/rilyg
RILYH,"B. Riley Financial, Inc.",25.39,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/rilyh
RILYI,"B. Riley Financial, Inc.",24.77,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/rilyi
RILYL,"B. Riley Financial, Inc.",25.4138,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/rilyl
RILYZ,"B. Riley Financial, Inc.",24.52,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/rilyz
BOSC,B.O.S. Better Online Solutions,2.1838,$7.76M,n/a,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/bosc
BTG,B2Gold Corp,2.92,$2.89B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/btg
BW,Babcock,0.4757,$80.26M,2015,Capital Goods,Building Products,https://www.nasdaq.com/symbol/bw
BGH,Babson Global Short Duration High Yield Fund,16.29,$326.74M,2012,n/a,n/a,https://www.nasdaq.com/symbol/bgh
BMI,"Badger Meter, Inc.",49.05,$1.43B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/bmi
BIDU,"Baidu, Inc.",160.95,$56.1B,2005,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/bidu
BCSF,"Bain Capital Specialty Finance, Inc.",17.46,$898.88M,2018,n/a,n/a,https://www.nasdaq.com/symbol/bcsf
BHGE,"Baker Hughes, a GE company",21.96,$24.15B,2017,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/bhge
BCPC,Balchem Corporation,79.5,$2.56B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/bcpc
BBN,BalckRock Taxable Municipal Bond Trust,21.48,$1.23B,2010,n/a,n/a,https://www.nasdaq.com/symbol/bbn
BLL,Ball Corporation,45.59,$15.46B,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/bll
BTN,"Ballantyne Strong, Inc",1.325,$19.14M,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/btn
BLDP,"Ballard Power Systems, Inc.",2.98,$690.8M,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/bldp
BANC,"Banc of California, Inc.",14.1,$714.2M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/banc
BANC^D,"Banc of California, Inc.",25.9,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/banc^d
BANC^E,"Banc of California, Inc.",25.6,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/banc^e
BANF,BancFirst Corporation,52.28,$1.71B,1993,Finance,Major Banks,https://www.nasdaq.com/symbol/banf
BANFP,BancFirst Corporation,26.3,$26.3M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/banfp
BBVA,Banco Bilbao Viscaya Argentaria S.A.,5.54,$36.94B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/bbva
BBD,Banco Bradesco Sa,10.88,$72.83B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bbd
BBDO,Banco Bradesco Sa,9.6,$64.26B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bbdo
BCH,Banco De Chile,29.52,$44.73B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/bch
BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",17.32,$684.81M,1992,Finance,Commercial Banks,https://www.nasdaq.com/symbol/blx
BSBR,Banco Santander Brasil SA,12.8,$95.66B,2009,Finance,Commercial Banks,https://www.nasdaq.com/symbol/bsbr
BSAC,Banco Santander Chile,30.54,$14.39B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/bsac
BSMX,"Banco Santander Mexico, S.A., Institucion de Ban",6.39,$8.67B,2012,Finance,Commercial Banks,https://www.nasdaq.com/symbol/bsmx
